part_number, part_name, qty, threshold_qty, dependencies, verified_date, alt_part_nums, search_parms, notes
15-697867, SRX Magnetic Encoder, 5, 0, None, None, None, 15-697867 SRX Magnetic Encoder , 
AM-0546, SB50 APP Connector with Contacts, 3, 0, None, None, None, AM-0546 SB50 APP Connector with Contacts , 
AM-3071, , 3, 0, None, None, None, AM-3071  , 
94669A311, Aluminum Unthreaded Spacer  4.500 mm OD  18 mm Long  for M3 Screw Size, 15, 0, None, None, None, 94669A311 Aluminum Unthreaded Spacer  4.500 mm OD  18 mm Long  for M3 Screw Size , 
92510A609, , 0, 0, None, None, None, 92510A609  , 
94669A128, Aluminum Unthreaded Spacer  8 mm OD  30 mm Long  for M3 Screw Size, 0, 0, None, None, None, 94669A128 Aluminum Unthreaded Spacer  8 mm OD  30 mm Long  for M3 Screw Size , 
94669A319, , 0, 0, None, None, None, 94669A319  , 
217-6515, Falcon 500, 11, 0, None, None, None, 217-6515 Falcon 500 , 
217-3875, "0.500"" Hex ID x 1.125"" OD x 0.313"" WD (Flanged Bearing v2)", 47, 0, None, None, None, 217-3875 "0.500"" Hex ID x 1.125"" OD x 0.313"" WD (Flanged Bearing v2)" , 
217-3351, Bag Motor, 4, 0, None, None, None, 217-3351 Bag Motor , 
217-4006, "Bearing  Flanged  13.75mm (1/2"" ThunderHex ID) x 1.125"" OD x 0.313"" WD", 42, 0, None, None, None, 217-4006 "Bearing  Flanged  13.75mm (1/2"" ThunderHex ID) x 1.125"" OD x 0.313"" WD" , 
217-5046, Versa Planetary Integrated Encoder, 12, 0, None, None, None, 217-5046 Versa Planetary Integrated Encoder , 
217-6919, 12T Steel Spur Gear (20 DP  Falcon Motor), 13, 0, None, None, None, 217-6919 12T Steel Spur Gear (20 DP  Falcon Motor) , 
217-4858, , 0, 0, None, None, None, 217-4858  , 
REV-21-1651, Neo 550 Brushless motor, 3, 0, None, None, None, REV-21-1651 Neo 550 Brushless motor , 
WCP-0176, "38t Steel Spur Gear (20 DP  1/2"" Hex Bore)", 43, 0, None, None, None, WCP-0176 "38t Steel Spur Gear (20 DP  1/2"" Hex Bore)" , 
